DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Gajary	Gajary	Malacky	900 61	Gajary	Gajary	106	BL	
Gajdoš	Gajdoš	Sobrance	072 43	Veľké Revištia	Veľké Revištia	809	KI	
Galanta	Galanta	Galanta	924 01	Galanta 1	Galanta 1	202	TA	
Galovany	Galovany	Liptovský Mikuláš	032 11	Svätý Kríž	Svätý Kríž	505	ZI	
Gáň	Gáň	Galanta	924 01	Galanta 1	Galanta 1	202	TA	
Gánovce	Gánovce	Poprad	058 01	Poprad 1	Poprad 1	706	PV	
Gápel	Gápel	Prievidza	972 28	Valaská Belá	Valaská Belá	307	TC	
Gaškovce	Gaškovce	Púchov	020 53	Lúky	Lúky	308	TC	
Gašparovo	Gašparovo	Brezno	976 64	Beňuš	Beňuš	603	BC	
Gbeľany	Gbeľany	Žilina	013 02	Gbeľany pri Žiline	Gbeľany pri Žiline	511	ZI	
Gbelce	Gbelce	Nové Zámky	943 42	Gbelce	Gbelce	404	NI	
Gbely	Gbely	Skalica	908 45	Gbely	Gbely	206	TA	
Geča	Geča	Košice-okolie	044 10	Geča	Geča	806	KI	
Geča č. 107-110	Geča č. 107-110	Košice-okolie	044 14	Čaňa	Čaňa	806	KI	
Gelnica	Gelnica	Gelnica	056 01	Gelnica	Gelnica	801	KI	
Gemer	Gemer	Revúca	982 01	Tornaľa	Tornaľa	608	BC	
Gemerček	Gemerček	Rimavská Sobota	980 31	Hodejov	Hodejov	609	BC	
Gemerská Hôrka	Gemerská Hôrka	Rožňava	049 12	Gemerská Hôrka	Gemerská Hôrka	808	KI	
Gemerská Panica	Gemerská Panica	Rožňava	980 46	Gemerská Panica	Gemerská Panica	808	KI	
Gemerská Poloma	Gemerská Poloma	Rožňava	049 22	Gemerská Poloma	Gemerská Poloma	808	KI	
Gemerská Ves	Gemerská Ves	Revúca	982 62	Gemerská Ves	Gemerská Ves	608	BC	
Gemerské Dechtáre	Gemerské Dechtáre	Rimavská Sobota	980 04	Hostice	Hostice	609	BC	
Gemerské Michalovce	Gemerské Michalovce	Rimavská Sobota	982 52	Nižná Kaloša	Nižná Kaloša	609	BC	
Gemerské Teplice	Gemerské Teplice	Revúca	049 16	Jelšava	Jelšava	608	BC	
Gemerský Jablonec	Gemerský Jablonec	Rimavská Sobota	980 35	Gemerský Jablonec	Gemerský Jablonec	609	BC	
Gemerský Milhosť	Gemerský Milhosť	Revúca	049 16	Jelšava	Jelšava	608	BC	
Gemerský Sad	Gemerský Sad	Revúca	049 13	Hucín	Hucín	608	BC	
Géňa	Géňa	Levice	934 01	Levice 1	Levice 1	402	NI	
Geraltov	Geraltov	Prešov	082 67	Terňa	Terňa	707	PV	
Gerlachov	Gerlachov	Poprad	059 42	Gerlachov	Gerlachov	706	PV	
Gerlachov	Gerlachov	Bardejov	086 04	Kružlov	Kružlov	701	PV	
Giglovce	Giglovce	Vranov nad Topľou	094 05	Holčíkovce	Holčíkovce	713	PV	
Giraltovce	Giraltovce	Svidník	087 01	Giraltovce	Giraltovce	712	PV	
Girovce	Girovce	Vranov nad Topľou	094 06	Košarovce	Košarovce	713	PV	
Glabušovce	Glabušovce	Veľký Krtíš	991 22	Bušince	Bušince	610	BC	
Gočaltovo	Gočaltovo	Rožňava	049 32	Štítnik	Štítnik	808	KI	
Gočovo	Gočovo	Rožňava	049 24	Vlachovo	Vlachovo	808	KI	
Golianovo	Golianovo	Nitra	951 08	Golianovo	Golianovo	403	NI	
Gomboš	Gomboš	Košice-okolie	044 55	Veľká Ida	Veľká Ida	806	KI	
Gondovo	Gondovo	Levice	935 25	Nová Dedina pri Leviciach	N.Dedina pri Levic.	402	NI	
Gorazdov	Gorazdov	Šaľa	951 31	Močenok	Močenok	405	NI	
Gortva	Gortva	Rimavská Sobota	980 02	Jesenské	Jesenské	609	BC	
Gôtovany	Gôtovany	Liptovský Mikuláš	032 14	Ľubeľa	Ľubeľa	505	ZI	
Grajciar	Grajciar	Košice-okolie	044 57	Haniska	Haniska	806	KI	
Granč - Petrovce	Granč - Petrovce	Levoča	053 05	Beharovce	Beharovce	704	PV	
Gregorova Vieska	Gregorova Vieska	Lučenec	985 56	Tomášovce	Tomášovce	606	BC	
Gregorovce	Gregorovce	Revúca	982 52	Nižná Kaloša	Nižná Kaloša	608	BC	
Gregorovce	Gregorovce	Prešov	082 66	Uzovce	Uzovce	707	PV	
