DOBEC	OBEC	OKRES	PSC	DPOSTA	POSTA	KOD_OKR	KRAJ	
Šarišské Dravce	Šarišské Dravce	Sabinov	082 73	Šarišské Dravce	Šarišské Dravce	708	PV	
Šarišské Jastrabie	Šarišské Jastrabie	Stará Ľubovňa	065 48	Šarišské Jastrabie	Šarišské Jastrabie	710	PV	
Šarišské Lúky	Šarišské Lúky	Prešov	080 06	Prešov 6	Prešov 6	707	PV	
Šarišské Lužianky	Šarišské Lužianky	Prešov	082 32	Svinia	Svinia	707	PV	
Šarišské Michaľany	Šarišské Michaľany	Sabinov	082 22	Šarišské Michaľany	Šarišské Michaľany	708	PV	
Šarišské Sokolovce	Šarišské Sokolovce	Sabinov	082 66	Uzovce	Uzovce	708	PV	
Šarišský Štiavnik	Šarišský Štiavnik	Svidník	090 42	Okruhlé	Okruhlé	712	PV	
Šarkan	Šarkan	Nové Zámky	943 42	Gbelce	Gbelce	404	NI	
Šarovce	Šarovce	Levice	935 52	Šarovce	Šarovce	402	NI	
Šašová	Šašová	Bardejov	086 12	Kurima	Kurima	701	PV	
Šášovské Podhradie	Šášovské Podhradie	Žiar nad Hronom	965 01	Žiar nad Hronom 1	Žiar nad Hronom 1	613	BC	
Šaštín	Šaštín	Senica	908 41	Šaštín-Stráže 1	Šaštín-Stráže 1	205	TA	
Šaštín - Stráže	Šaštín - Stráže	Senica	908 41	Šaštín-Stráže 1	Šaštín-Stráže 1	205	TA	
Šávoľ	Šávoľ	Lučenec	985 41	Šávoľ	Šávoľ	606	BC	
Šebešťanová	Šebešťanová	Považská Bystrica	017 04	Považská Bystrica 4	Považská Bystrica 4	306	TC	
Šelpice	Šelpice	Trnava	919 09	Bohdanovce nad Trnavou	Bohdanovce nad Trn.	207	TA	
Šemetkovce	Šemetkovce	Svidník	090 03	Ladomirová	Ladomirová	712	PV	
Šemša	Šemša	Košice-okolie	044 21	Šemša	Šemša	806	KI	
Šenkvice	Šenkvice	Pezinok	900 81	Šenkvice	Šenkvice	107	BL	
Šiatorská Bukovinka	Šiatorská Bukovinka	Lučenec	985 58	Radzovce	Radzovce	606	BC	
Šiba	Šiba	Bardejov	086 22	Kľušov	Kľušov	701	PV	
Šíd	Šíd	Lučenec	986 01	Fiľakovo	Fiľakovo	606	BC	
Šimonovce	Šimonovce	Rimavská Sobota	980 03	Šimonovce	Šimonovce	609	BC	
Šindliar	Šindliar	Prešov	082 36	Lipovce pri Prešove	Lipovce pri Prešove	707	PV	
Šintava	Šintava	Galanta	925 51	Šintava	Šintava	202	TA	
Šipice	Šipice	Krupina	962 68	Hontianske Tesáre	Hontianske Tesáre	605	BC	
Šípkov	Šípkov	Bánovce nad Bebravou	956 53	Slatina nad Bebravou	Slatina nad Bebravou	301	TC	
Šípkové	Šípkové	Piešťany	922 03	Vrbové	Vrbové	204	TA	
Šipošovské Kračany	Šipošovské Kračany	Dunajská Streda	930 03	Kráľovičove Kračany	Kráľovičove Kračany	201	TA	
Širákov	Širákov	Veľký Krtíš	991 27	Kamenné Kosihy	Kamenné Kosihy	610	BC	
Širkovce	Širkovce	Rimavská Sobota	980 02	Jesenské	Jesenské	609	BC	
Široká	Široká	Dolný Kubín	027 41	Oravský Podzámok	Oravský Podzámok	503	ZI	
Široké	Široké	Prešov	082 37	Široké	Široké	707	PV	
Šišov	Šišov	Bánovce nad Bebravou	956 38	Šišov	Šišov	301	TC	
Šivetice	Šivetice	Revúca	049 14	Licince	Licince	608	BC	
Škoruby	Škoruby	Bytča	013 54	Kolárovice	Kolárovice	501	ZI	
Škrabáka	Škrabáka	Čadca	022 04	Čadca 4	Čadca 4	502	ZI	
Škriavnik	Škriavnik	Veľký Krtíš	991 25	Čebovce	Čebovce	610	BC	
Škrípov	Škrípov	Prievidza	972 28	Valaská Belá	Valaská Belá	307	TC	
Šmigovec	Šmigovec	Snina	067 73	Ubľa	Ubľa	709	PV	
Šoltýska	Šoltýska	Poltár	985 07	Šoltýska	Šoltýska	607	BC	
Šopora	Šopora	Čadca	022 01	Čadca 1	Čadca 1	502	ZI	
Šoporňa	Šoporňa	Galanta	925 52	Šoporňa	Šoporňa	202	TA	
Špačince	Špačince	Trnava	919 51	Špačince	Špačince	207	TA	
Špania Dolina	Špania Dolina	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Španie Pole	Španie Pole	Rimavská Sobota	980 23	Teplý Vrch	Teplý Vrch	609	BC	
Šrobárová	Šrobárová	Komárno	946 32	Marcelová	Marcelová	401	NI	
Štále	Štále	Žarnovica	968 01	Nová Baňa	Nová Baňa	612	BC	
Štefan	Štefan	Nové Zámky	941 37	Strekov pri Nových Zámkoch	Strekov pri N.Zámk.	404	NI	
Štefanov	Štefanov	Senica	906 45	Štefanov	Štefanov	205	TA	
Štefanov nad Oravou	Štefanov nad Oravou	Tvrdošín	027 44	Tvrdošín 1	Tvrdošín 1	510	ZI	
Štefanová	Štefanová	Pezinok	900 86	Budmerice	Budmerice	107	BL	
Štefanovce	Štefanovce	Prešov	082 35	Hendrichovce	Hendrichovce	707	PV	
Štefanovce	Štefanovce	Vranov nad Topľou	094 01	Tovarné	Tovarné	713	PV	
Štefanovičová	Štefanovičová	Nitra	951 15	Mojmírovce	Mojmírovce	403	NI	
Štefanská Huta	Štefanská Huta	Gelnica	053 51	Kluknava	Kluknava	801	KI	
Štefultov	Štefultov	Banská Štiavnica	969 01	Banská Štiavnica 1	Banská Štiavnica 1	602	BC	
Štefurov	Štefurov	Svidník	090 42	Okruhlé	Okruhlé	712	PV	
Šterusy	Šterusy	Piešťany	922 03	Vrbové	Vrbové	204	TA	
Štiavnické Bane	Štiavnické Bane	Banská Štiavnica	969 81	Štiavnické Bane	Štiavnické Bane	602	BC	
Štiavnička	Štiavnička	Banská Bystrica	976 81	Podbrezová	Podbrezová	601	BC	
Štiavnička	Štiavnička	Ružomberok	034 01	Ružomberok 1	Ružomberok 1	508	ZI	
Štiavnik	Štiavnik	Bytča	013 55	Štiavnik	Štiavnik	501	ZI	
Štiefleje	Štiefleje	Prievidza	972 48	Horná Ves	Horná Ves	307	TC	
Štitáre	Štitáre	Nitra	951 01	Nitrianske Hrnčiarovce	Nitrian.Hrnčiarovce	403	NI	
Štítnik	Štítnik	Rožňava	049 32	Štítnik	Štítnik	808	KI	
Štoliansko	Štoliansko	Detva	962 05	Hriňová	Hriňová	604	BC	
Štós	Štós	Košice-okolie	044 26	Štós	Štós	806	KI	
Štós - kúpele	Štós - kúpele	Košice-okolie	044 26	Štós	Štós	806	KI	
Štôla	Štôla	Poprad	059 37	Štôla	Štôla	706	PV	
Štrba	Štrba	Poprad	059 38	Štrba	Štrba	706	PV	
Štrbské Pleso	Štrbské Pleso	Poprad	059 85	Štrbské Pleso	Štrbské Pleso	706	PV	
Štrkovec	Štrkovec	Galanta	925 52	Šoporňa	Šoporňa	202	TA	
Štrkovec	Štrkovec	Rimavská Sobota	980 45	Štrkovec	Štrkovec	609	BC	
Štubne	Štubne	Banská Bystrica	976 02	Staré Hory	Staré Hory	601	BC	
Štúrová	Štúrová	Komárno	946 13	Okoličná na Ostrove	Okoličná na Ostrove	401	NI	
Štúrovo	Štúrovo	Nové Zámky			Pozri zoz.ulíc s PSČ	404	NI	
Štvrtok	Štvrtok	Trenčín	913 05	Melčice-Lieskové	Melčice-Lieskové	309	TC	
Štvrtok na Ostrove	Štvrtok na Ostrove	Dunajská Streda	930 40	Štvrtok na Ostrove	Štvrtok na Ostrove	201	TA	
Šuja	Šuja	Žilina	015 01	Rajec nad Rajčiankou	Rajec nad Rajčiankou	511	ZI	
Šuľa	Šuľa	Veľký Krtíš	991 01	Senné	Senné	610	BC	
Šuľany	Šuľany	Dunajská Streda	930 33	Horný Bar	Horný Bar	201	TA	
Šulekovo	Šulekovo	Hlohovec	920 03	Hlohovec 3	Hlohovec 3	203	TA	
Šumiac	Šumiac	Brezno	976 71	Šumiac	Šumiac	603	BC	
Šuňava	Šuňava	Poprad	059 39	Šuňava	Šuňava	706	PV	
Šurany	Šurany	Nové Zámky	942 01	Šurany 1	Šurany 1	404	NI	
Šurianky	Šurianky	Nitra	951 26	Šurianky	Šurianky	403	NI	
Šurice	Šurice	Lučenec	980 33	Hajnáčka	Hajnáčka	606	BC	
Šúrovce	Šúrovce	Trnava	919 25	Šúrovce	Šúrovce	207	TA	
Šutovce	Šutovce	Prievidza	972 01	Bojnice	Bojnice	307	TC	
Šútovo	Šútovo	Martin	038 54	Krpeľany	Krpeľany	506	ZI	
Švábolka	Švábolka	Brezno	976 69	Pohorelá	Pohorelá	603	BC	
Švábovce	Švábovce	Poprad			Pozri zoz.ulíc s PSČ	706	PV	
Švedlár	Švedlár	Gelnica	053 34	Švedlár	Švedlár	801	KI	
Švošov	Švošov	Ružomberok	034 91	Ľubochňa	Ľubochňa	508	ZI	
Švrčkov Jarok	Švrčkov Jarok	Senica	906 05	Sobotište	Sobotište	205	TA	
Ťahyňa	Ťahyňa	Michalovce	072 14	Pavlovce nad Uhom	Pavlovce nad Uhom	807	KI	
Tachty	Tachty	Rimavská Sobota	980 34	Nová Bašta	Nová Bašta	609	BC	
Tajná	Tajná	Nitra	952 01	Vráble	Vráble	403	NI	
Tajov	Tajov	Banská Bystrica	976 34	Tajov	Tajov	601	BC	
Taľka	Taľka	Prešov	082 12	Kapušany pri Prešove	Kapušany pri Prešove	707	PV	
Tanečník	Tanečník	Námestovo	029 57	Oravská Lesná	Oravská Lesná	507	ZI	
Ťapešovo	Ťapešovo	Námestovo	029 51	Lokca	Lokca	507	ZI	
Ťapkové	Ťapkové	Piešťany	922 08	Veselé pri Piešťanoch	Veselé pri Piešťan.	204	TA	
Tarnov	Tarnov	Bardejov	086 01	Rokytov	Rokytov	701	PV	
Tašuľa	Tašuľa	Sobrance	072 52	Jenkovce	Jenkovce	809	KI	
Tatranská Javorina	Tatranská Javorina	Poprad	059 56	Javorina	Javorina	706	PV	
Tatranská Kotlina	Tatranská Kotlina	Poprad	059 54	Tatranská Kotlina	Tatranská Kotlina	706	PV	
Tatranská Lesná	Tatranská Lesná	Poprad	059 60	Tatranská Lomnica	Tatranská Lomnica	706	PV	
Tatranská Lomnica	Tatranská Lomnica	Poprad	059 60	Tatranská Lomnica	Tatranská Lomnica	706	PV	
Tatranská Polianka	Tatranská Polianka	Poprad	062 01	Starý Smokovec	Starý Smokovec	706	PV	
Tatranská Štrba	Tatranská Štrba	Poprad	059 41	Tatranská Štrba	Tatranská Štrba	706	PV	
Tatranské Matliare	Tatranské Matliare	Poprad	059 60	Tatranská Lomnica	Tatranská Lomnica	706	PV	
Tatranské Zruby	Tatranské Zruby	Poprad	062 01	Starý Smokovec	Starý Smokovec	706	PV	
Tehla	Tehla	Levice	935 35	Tehla	Tehla	402	NI	
Tekolďany	Tekolďany	Hlohovec	920 62	Horné Otrokovce	Horné Otrokovce	203	TA	
Tekovská Breznica	Tekovská Breznica	Žarnovica	966 52	Tekovská Breznica	Tekovská Breznica	612	BC	
Tekovská Nová Ves	Tekovská Nová Ves	Levice	935 25	Nová Dedina pri Leviciach	N.Dedina pri Levic.	402	NI	
Tekovské Lužany	Tekovské Lužany	Levice	935 41	Tekovské Lužany	Tekovské Lužany	402	NI	
Tekovské Nemce	Tekovské Nemce	Zlaté Moravce	966 54	Tekovské Nemce	Tekovské Nemce	407	NI	
Tekovský Hrádok	Tekovský Hrádok	Levice	935 51	Tekovský Hrádok	Tekovský Hrádok	402	NI	
Telgárt	Telgárt	Brezno	976 73	Telgárt	Telgárt	603	BC	
Telince	Telince	Nitra	951 61	Čifáre	Čifáre	403	NI	
Temeš	Temeš	Prievidza	972 29	Čavoj	Čavoj	307	TC	
Teplá	Teplá	Banská Štiavnica	969 82	Podhorie	Podhorie	602	BC	
Tepličany	Tepličany	Košice-okolie	044 31	Družstevná pri Hornáde	Družstevná pri Horn.	806	KI	
Teplička	Teplička	Spišská Nová Ves	052 01	Spišská Nová Ves 1	Spišská Nová Ves 1	810	KI	
Teplička nad Váhom	Teplička nad Váhom	Žilina	013 01	Teplička nad Váhom	Teplička nad Váhom	511	ZI	
Tepličky	Tepličky	Hlohovec	920 66	Horné Trhovište	Horné Trhovište	203	TA	
Teplý Vrch	Teplý Vrch	Rimavská Sobota	980 23	Teplý Vrch	Teplý Vrch	609	BC	
Terany	Terany	Krupina	962 68	Hontianske Tesáre	Hontianske Tesáre	605	BC	
Terchová	Terchová	Žilina	013 06	Terchová	Terchová	511	ZI	
Teriakovce	Teriakovce	Prešov	080 05	Prešov 5	Prešov 5	707	PV	
Terňa	Terňa	Prešov	082 67	Terňa	Terňa	707	PV	
Tesáre	Tesáre	Topoľčany	956 21	Jacovce	Jacovce	406	NI	
Tesáre nad Žitavou	Tesáre nad Žitavou	Zlaté Moravce	951 76	Tesárske Mlyňany	Tesárske Mlyňany	407	NI	
Tesárske Mlyňany	Tesárske Mlyňany	Zlaté Moravce	951 76	Tesárske Mlyňany	Tesárske Mlyňany	407	NI	
Tešedíkovo	Tešedíkovo	Šaľa	925 82	Tešedíkovo	Tešedíkovo	405	NI	
Tešmák	Tešmák	Levice	936 01	Šahy	Šahy	402	NI	
Tiba	Tiba	Rožňava	049 12	Gemerská Hôrka	Gemerská Hôrka	808	KI	
Tibava	Tibava	Sobrance	073 01	Sobrance	Sobrance	809	KI	
Tichá Voda	Tichá Voda	Gelnica	053 33	Nálepkovo	Nálepkovo	801	KI	
Tichý Potok	Tichý Potok	Sabinov	082 74	Brezovica nad Torysou	Brezovica nad Torys.	708	PV	
Timoradza	Timoradza	Bánovce nad Bebravou	956 52	Podlužany pri Bánovciach nad Bebravou	Podlužany pri Bánov.	301	TC	
Tisinec	Tisinec	Stropkov	091 01	Stropkov	Stropkov	711	PV	
Tisovec	Tisovec	Rimavská Sobota	980 61	Tisovec	Tisovec	609	BC	
Tlmače	Tlmače	Levice	935 21	Tlmače 1	Tlmače 1	402	NI	
Tlstá Hora	Tlstá Hora	Ilava	018 54	Slávnica	Slávnica	302	TC	
Töböréte	Töböréte	Dunajská Streda	929 01	Dunajská Streda 1	Dunajská Streda 1	201	TA	
Točnica	Točnica	Lučenec	985 22	Cinobaňa	Cinobaňa	606	BC	
Tokajík	Tokajík	Stropkov	090 34	Tokajík	Tokajík	711	PV	
Tomášikovo	Tomášikovo	Galanta	925 04	Tomašíkovo	Tomašíkovo	202	TA	
Tomášov	Tomášov	Senec	900 44	Tomášov	Tomášov	108	BL	
Tomášovce	Tomášovce	Rimavská Sobota	980 21	Bátka	Bátka	609	BC	
Tomášovce	Tomášovce	Lučenec	985 56	Tomášovce	Tomášovce	606	BC	
Tomčany	Tomčany	Martin	036 01	Martin 1	Martin 1	506	ZI	
Tonkovce	Tonkovce	Dunajská Streda	930 38	Nový Život	Nový Život	201	TA	
Topoľa	Topoľa	Snina	067 65	Topoľa	Topoľa	709	PV	
Topoľany	Topoľany	Michalovce	071 01	Michalovce 1	Michalovce 1	807	KI	
Topoľčany	Topoľčany	Topoľčany			Pozri zoz.ulíc s PSČ	406	NI	
Topoľčianky	Topoľčianky	Zlaté Moravce	951 93	Topoľčianky	Topoľčianky	407	NI	
Topolecká	Topolecká	Nové Mesto n.Váhom	916 01	Stará Turá	Stará Turá	304	TC	
Topoľnica	Topoľnica	Galanta	925 92	Kajal	Kajal	202	TA	
Topoľníky	Topoľníky	Dunajská Streda	930 11	Topoľníky	Topoľníky	201	TA	
Topoľovka	Topoľovka	Humenné	067 45	Topoľovka	Topoľovka	702	PV	
Toporec	Toporec	Kežmarok	059 95	Toporec	Toporec	703	PV	
Tornaľa	Tornaľa	Revúca	982 01	Tornaľa	Tornaľa	608	BC	
Torysa	Torysa	Sabinov	082 76	Torysa	Torysa	708	PV	
Torysky	Torysky	Levoča	053 71	Vyšné Repaše	Vyšné Repaše	704	PV	
Tovarné	Tovarné	Vranov nad Topľou	094 01	Tovarné	Tovarné	713	PV	
Tovarnianska Polianka	Tovarnian.Polianka	Vranov nad Topľou	094 01	Tovarné	Tovarné	713	PV	
Tovarníky	Tovarníky	Topoľčany	955 01	Topoľčany 1	Topoľčany 1	406	NI	
Tôň	Tôň	Komárno	946 15	Tôň	Tôň	401	NI	
Trakovice	Trakovice	Hlohovec	919 33	Trakovice	Trakovice	203	TA	
Trávnica	Trávnica	Nové Zámky	941 46	Trávnica	Trávnica	404	NI	
Trávnik	Trávnik	Komárno	946 19	Číčov	Číčov	401	NI	
Trebatice	Trebatice	Piešťany	922 10	Trebatice	Trebatice	204	TA	
Trebejov	Trebejov	Košice-okolie	044 81	Kysak	Kysak	806	KI	
Trebeľovce	Trebeľovce	Lučenec	985 31	Rapovce	Rapovce	606	BC	
Trebichava	Trebichava	Bánovce nad Bebravou	956 53	Slatina nad Bebravou	Slatina nad Bebravou	301	TC	
Trebišov	Trebišov	Trebišov	075 01	Trebišov 1	Trebišov 1	811	KI	
Trebostovo	Trebostovo	Martin	038 41	Košťany nad Turcom	Košťany nad Turcom	506	ZI	
Trebušovce	Trebušovce	Veľký Krtíš	991 27	Kamenné Kosihy	Kamenné Kosihy	610	BC	
Trenč	Trenč	Lučenec	985 32	Veľká nad Ipľom	Veľká nad Ipľom	606	BC	
Trenčianska Teplá	Trenčianska Teplá	Trenčín	914 01	Trenčianska Teplá	Trenčianska Teplá	309	TC	
Trenčianska Turná	Trenčianska Turná	Trenčín	913 21	Trenčianska Turná	Trenčianska Turná	309	TC	
Trenčianska Závada	Trenčianska Závada	Trenčín	914 41	Nemšová	Nemšová	309	TC	
Trenčianske Bohuslavice	Trenč.Bohuslavice	Nové Mesto n.Váhom	913 07	Bošáca	Trenč.Bohuslavice	304	TC	
Trenčianske Jastrabie	Trenč.Jastrabie	Trenčín	913 22	Trenčianske Jastrabie	Trenč.Jastrabie	309	TC	
Trenčianske Mitice	Trenčianske Mitice	Trenčín	913 22	Trenčianske Jastrabie	Trenč.Jastrabie	309	TC	
Trenčianske Stankovce	Trenč.Stankovce	Trenčín	913 11	Trenčianske Stankovce	Trenč.Stankovce	309	TC	
Trenčianske Teplice	Trenčianske Teplice	Trenčín	914 51	Trenčianske Teplice	Trenčianske Teplice	309	TC	
Trenčín	Trenčín	Trenčín			Pozri zoz.ulíc s PSČ	309	TC	
Trhová Hradská	Trhová Hradská	Dunajská Streda	930 13	Trhová Hradská	Trhová Hradská	201	TA	
Trhovište	Trhovište	Michalovce	072 04	Trhovište	Trhovište	807	KI	
Trhyňa	Trhyňa	Levice	937 01	Želiezovce	Želiezovce	402	NI	
Trnava	Trnava	Trnava			Pozri zoz.ulíc s PSČ	207	TA	
Trnavá Hora	Trnavá Hora	Žiar nad Hronom	966 11	Trnavá Hora	Trnavá Hora	613	BC	
Trnava pri Laborci	Trnava pri Laborci	Michalovce	072 31	Vinné	Vinné	807	KI	
Trnávka	Trnávka	Dunajská Streda	930 32	Blatná na Ostrove	Blatná na Ostrove	201	TA	
Trnávka	Trnávka	Trenčín	913 33	Horná Súča	Horná Súča	309	TC	
Trnávka	Trnávka	Trebišov	078 01	Sečovce	Sečovce	811	KI	
Tŕnie	Tŕnie	Zvolen	962 34	Tŕnie	Tŕnie	611	BC	
Trnkov	Trnkov	Prešov	082 12	Kapušany pri Prešove	Kapušany pri Prešove	707	PV	
Trnové	Trnové	Žilina	010 01	Žilina 1	Žilina 1	511	ZI	
Trnovec	Trnovec	Skalica	908 51	Holíč 1	Holíč 1	206	TA	
Trnovec nad Váhom	Trnovec nad Váhom	Šaľa	925 71	Trnovec nad Váhom	Trnovec nad Váhom	405	NI	
Trnovo	Trnovo	Martin	038 41	Košťany nad Turcom	Košťany nad Turcom	506	ZI	
Tročany	Tročany	Bardejov	086 41	Raslavice	Raslavice	701	PV	
Trojačka	Trojačka	Čadca	023 56	Makov na Slovensku	Makov na Slovensku	502	ZI	
Trpín	Trpín	Krupina	962 44	Litava na Slovensku	Litava na Slovensku	605	BC	
Trsťany	Trsťany	Košice-okolie	044 45	Bidovce	Bidovce	806	KI	
Trsťany	Trsťany	Spišská Nová Ves	053 63	Spišský Hrušov	Spišský Hrušov	810	KI	
Trstená	Trstená	Tvrdošín	028 01	Trstená	Trstená	510	ZI	
Trstená na Ostrove	Trstená na Ostrove	Dunajská Streda	930 04	Baka	Baka	201	TA	
Trstené	Trstené	Liptovský Mikuláš	032 21	Bobrovec	Bobrovec	505	ZI	
Trstené pri Hornáde	Trstené pri Hornáde	Košice-okolie	044 11	Ždaňa	Ždaňa	806	KI	
Trstice	Trstice	Galanta	925 42	Trstice	Trstice	202	TA	
Tŕstie	Tŕstie	Považská Bystrica	018 22	Pružina	Pružina	306	TC	
Trstín	Trstín	Trnava	919 05	Trstín	Trstín	207	TA	
Trubín	Trubín	Žiar nad Hronom	966 23	Lovčica-Trubín	Lovčica-Trubín	613	BC	
Tuhár	Tuhár	Lučenec	985 12	Tuhár	Tuhár	606	BC	
Tuhrina	Tuhrina	Prešov	082 07	Tuhrina	Tuhrina	707	PV	
Tuchyňa	Tuchyňa	Ilava	018 55	Tuchyňa	Tuchyňa	302	TC	
Tulčík	Tulčík	Prešov	082 13	Tulčík	Tulčík	707	PV	
Tunežice	Tunežice	Ilava	018 63	Ladce	Ladce	302	TC	
Tupá	Tupá	Levice	935 84	Horné Semerovce	Horné Semerovce	402	NI	
Turá	Turá	Levice	935 51	Tekovský Hrádok	Tekovský Hrádok	402	NI	
Turá Lúka	Turá Lúka	Myjava	907 03	Myjava 3	Myjava 3	303	TC	
Turany	Turany	Martin	038 53	Turany nad Váhom	Turany nad Váhom	506	ZI	
Turany nad Ondavou	Turany nad Ondavou	Stropkov	090 33	Turany nad Ondavou	Turany nad Ondavou	711	PV	
Turcovce	Turcovce	Humenné	067 23	Baškovce pri Humennom	Baškovce pri Humen.	702	PV	
Turček	Turček	Turčianske Teplice	038 48	Turček	Turček	509	ZI	
Turčianky	Turčianky	Partizánske	958 44	Klátova Nová Ves	Klátova Nová Ves	305	TC	
Turčianska Štiavnička	Turč.Štiavnička	Martin	038 51	Turčianska Štiavnička	Turčian.Štiavnička	506	ZI	
Turčianske Jaseno	Turčianske Jaseno	Martin	038 02	Dražkovce pri Martine	Dražkovce pri Mart.	506	ZI	
Turčianske Kľačany	Turčianske Kľačany	Martin	038 61	Vrútky	Vrútky	506	ZI	
Turčianske Teplice	Turčianske Teplice	Turčianske Teplice	039 01	Turčianske Teplice	Turčianske Teplice	509	ZI	
Turčiansky Ďur	Turčiansky Ďur	Martin	038 43	Kláštor pod Znievom	Kláštor pod Znievom	506	ZI	
Turčiansky Michal	Turčiansky Michal	Turčianske Teplice	039 01	Turčianske Teplice	Turčianske Teplice	509	ZI	
Turčiansky Peter	Turčiansky Peter	Martin	038 41	Košťany nad Turcom	Košťany nad Turcom	506	ZI	
Turčok	Turčok	Revúca	049 18	Lubeník	Lubeník	608	BC	
Turecká	Turecká	Banská Bystrica	976 02	Staré Hory	Staré Hory	601	BC	
Tureň	Tureň	Senec	903 01	Senec	Senec	108	BL	
Turíčky	Turíčky	Poltár	985 22	Cinobaňa	Cinobaňa	607	BC	
Turie	Turie	Žilina	013 12	Turie	Turie	511	ZI	
Turík	Turík	Ružomberok	034 83	Liptovská Teplá	Liptovská Teplá	508	ZI	
Turkov	Turkov	Čadca	023 54	Turzovka	Turzovka	502	ZI	
Turňa nad Bodvou	Turňa nad Bodvou	Košice-okolie	044 02	Turňa nad Bodvou	Turňa nad Bodvou	806	KI	
Turnianska Nová Ves	Turnianska Nová Ves	Košice-okolie	044 02	Turňa nad Bodvou	Turňa nad Bodvou	806	KI	
Turová	Turová	Zvolen	962 34	Tŕnie	Tŕnie	611	BC	
Turzovka	Turzovka	Čadca	023 54	Turzovka	Turzovka	502	ZI	
Tušice	Tušice	Michalovce	072 02	Tušická Nová Ves	Tušická Nová Ves	807	KI	
Tušická Nová Ves	Tušická Nová Ves	Michalovce	072 02	Tušická Nová Ves	Tušická Nová Ves	807	KI	
Tužina	Tužina	Prievidza	972 14	Tužina	Tužina	307	TC	
Tvarožná	Tvarožná	Liptovský Mikuláš	032 23	Liptovská Sielnica	Liptovská Sielnica	505	ZI	
Tvarožná	Tvarožná	Kežmarok	059 71	Ľubica	Ľubica	703	PV	
Tvrdomestice	Tvrdomestice	Topoľčany	956 22	Prašice	Prašice	406	NI	
Tvrdošín	Tvrdošín	Tvrdošín	027 44	Tvrdošín 1	Tvrdošín 1	510	ZI	
Tvrdošovce	Tvrdošovce	Nové Zámky	941 10	Tvrdošovce	Tvrdošovce	404	NI	
U Hluška	U Hluška	Čadca	022 01	Čadca 1	Čadca 1	502	ZI	
U Holých	U Holých	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
U Kľukov	U Kľukov	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
U Kordišov	U Kordišov	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
U Polievkov	U Polievkov	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
U Rulcov	U Rulcov	Čadca	023 11	Zákopčie	Zákopčie	502	ZI	
U Siheľnika	U Siheľnika	Čadca	022 01	Čadca 1	Čadca 1	502	ZI	
Ubľa	Ubľa	Snina	067 73	Ubľa	Ubľa	709	PV	
Úbrež	Úbrež	Sobrance	072 42	Úbrež	Úbrež	809	KI	
Udavské	Udavské	Humenné	067 31	Udavské	Udavské	702	PV	
Uderiná	Uderiná	Lučenec	985 54	Lovinobaňa	Lovinobaňa	606	BC	
Udiča	Udiča	Považská Bystrica	018 01	Udiča	Udiča	306	TC	
Udička	Udička	Považská Bystrica	018 03	Horná Mariková	Horná Mariková	306	TC	
Údol	Údol	Stará Ľubovňa	065 45	Plavnica	Plavnica	710	PV	
Uhliská	Uhliská	Levice	935 05	Pukanec	Pukanec	402	NI	
Úhorná	Úhorná	Gelnica	055 66	Smolník	Smolník	801	KI	
Uhorská Ves	Uhorská Ves	Liptovský Mikuláš	032 03	Liptovský Ján	Liptovský Ján	505	ZI	
Uhorské	Uhorské	Poltár	985 25	Uhorské	Uhorské	607	BC	
Uhrovec	Uhrovec	Bánovce nad Bebravou	956 41	Uhrovec	Uhrovec	301	TC	
Uhrovské Podhradie	Uhrovské Podhradie	Bánovce nad Bebravou	956 41	Uhrovec	Uhrovec	301	TC	
Újazd	Újazd	Trenčín	913 31	Skalka nad Váhom	Skalka nad Váhom	309	TC	
Uľanka	Uľanka	Banská Bystrica	974 01	Banská Bystrica 1	Banská Bystrica 1	601	BC	
Úľany nad Žitavou	Úľany nad Žitavou	Nové Zámky	941 03	Úľany nad Žitavou	Úľany nad Žitavou	404	NI	
Ulič	Ulič	Snina	067 67	Ulič	Ulič	709	PV	
Uličské Krivé	Uličské Krivé	Snina	067 67	Ulič	Ulič	709	PV	
Uloža	Uloža	Levoča	053 71	Vyšné Repaše	Vyšné Repaše	704	PV	
Uňatín	Uňatín	Krupina	962 41	Bzovík	Bzovík	605	BC	
Unín	Unín	Skalica	908 46	Unín pri Skalici	Unín pri Skalici	206	TA	
Upohlav	Upohlav	Považská Bystrica	018 01	Udiča	Udiča	306	TC	
Úpor	Úpor	Trebišov	076 16	Úpor	Úpor	811	KI	
Urmince	Urmince	Topoľčany	956 02	Urmince	Urmince	406	NI	
Ústie nad Priehradou	Ústie nad Priehradou	Tvrdošín	028 01	Trstená	Trstená	510	ZI	
Úsvit	Úsvit	Poprad	059 11	Hozelec	Hozelec	706	PV	
Utekáč	Utekáč	Poltár	985 06	Utekáč	Utekáč	607	BC	
Uzovce	Uzovce	Sabinov	082 66	Uzovce	Uzovce	708	PV	
Uzovská Panica	Uzovská Panica	Rimavská Sobota	980 22	Veľký Blh	Veľký Blh	609	BC	
Uzovské Pekľany	Uzovské Pekľany	Sabinov	082 63	Jarovnice	Jarovnice	708	PV	
